LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"d $350,000-1 million","COLUMBIA CONSTRUCTION SERVICES, INC.",18525 SW 126th Place,TUALATIN,OR,97062,238160,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,44,04/14/2020,Citizens Bank,OR-01
"d $350,000-1 million",KOCH BETHLEHEM LLC,2135 WEST UNION BLVD,BETHLEHEM,PA,18018,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,48,04/08/2020,First Northern Bank and Trust Company,PA-07
"d $350,000-1 million",ASPEN MOUNTAIN MEDICAL CENTER LLC,4401 COLLEGE DR,ROCK SPRINGS,WY,82901,541611,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,43,04/15/2020,NBKC Bank,WY-00
"d $350,000-1 million",CASCONE'S INC,3733 n OAK TRFY,KANSAS CITY,MO,64116,722511,Corporation,Unanswered,Unanswered,Unanswered,,64,04/10/2020,Central Bank of the Midwest,MO-06
"e $150,000-350,000","MERRELL-JOHNSON ENGINEERING, INC.",22221 US HIGHWAY 18,APPLE VALLEY,CA,92307,541330,Corporation,White,Male Owned,Unanswered,,17,04/28/2020,Citizens Business Bank,CA-08
"e $150,000-350,000",UCEDA SCHOOL OF ORLANDO INC,5425 S SEMORAN BLVD,ORLANDO,FL,32822,611630,Corporation,Unanswered,Unanswered,Unanswered,,36,05/14/2020,Celtic Bank Corporation,FL-09
"e $150,000-350,000","HARRISON'S BODY & GLASS SHOP, INC",900 Clinton Rd 900 Clinton Rd Macon,Macon,GA,31211,811121,Corporation,White,Female Owned,Non-Veteran,,26,04/27/2020,Capital City Bank,GA-08
"d $350,000-1 million","T-BAR FENCE, INC.",6749 Bennett Lawson Rd,MANSFIELD,TX,76063,238990,Corporation,White,Male Owned,Unanswered,,44,04/03/2020,Citizens National Bank of Texas,TX-06
"e $150,000-350,000",LANDGATE CORP,6921 E4th Ave,DENVER,CO,80220,518210,Corporation,Unanswered,Unanswered,Unanswered,,14,04/27/2020,Stearns Bank National Association,CO-01
b $2-5 million,B & T EXPRESS INC.,P.O Box 468,NORTH LIMA,OH,44452,484122,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,267,04/07/2020,The Cortland Savings & Banking Co.,OH-06
"e $150,000-350,000","EFFORT ENTERPRISES OF PHOENIX ARIZONA, INC",835 North 47th Ave,PHOENIX,AZ,85043,484110,Corporation,Unanswered,Unanswered,Unanswered,,27,05/06/2020,"Bank of America, National Association",AZ-07
"d $350,000-1 million",PROGRESSIVE ELECTRONICS INC,602 ARLINGTON AVE,RAYTOWN,MO,64133,238210,Corporation,Unanswered,Unanswered,Unanswered,,74,04/08/2020,Arvest Bank,MO-05
"d $350,000-1 million",PROTECTED TRUST LLC,199 AVENUE B NW,WINTER HAVEN,FL,33881,541519,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/12/2020,Citizens Bank and Trust,FL-09
"e $150,000-350,000","EVEHRTAY, LLC",421 1ST ST,SONOMA,CA,95476,312130,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,24,04/16/2020,Umpqua Bank,CA-05
"d $350,000-1 million","TOTAL FACILITY CARE, LLC",453 DENVER AVE,LOVELAND,CO,80537,561720,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,98,04/07/2020,FirstBank,CO-04
c $1-2 million,MOTOR TECHNOLOGY INC,515 WILLOW SPRINGS LN,YORK,PA,17406,335312,Corporation,Unanswered,Unanswered,Unanswered,,96,04/15/2020,"PNC Bank, National Association",PA-10
"d $350,000-1 million",FVB ENTERPRISES INC,706 N WHITE HORSE PIKE,MAGNOLIA,NJ,08049,423920,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,"PNC Bank, National Association",NJ-01
"e $150,000-350,000",JLT ENTERPRISES INC,1799 CONOWINGO RD,RISING SUN,MD,21911,111411,Corporation,Unanswered,Unanswered,Unanswered,,41,06/05/2020,First Citizens Community Bank,MD-01
"e $150,000-350,000",ALPS GROUP 2 INC,2725 PALOMAR AIRPORT RD,CARLSBAD,CA,92009,721110,Corporation,Unanswered,Female Owned,Non-Veteran,,26,05/01/2020,"JPMorgan Chase Bank, National Association",CA-49
"d $350,000-1 million",TG PLUMBING & MECHANICAL,10785 Grant Lane,Pickering,OH,43147,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,First Merchants Bank,OH-15
"e $150,000-350,000","PINE KNOB SKI RESORT, INC.",43252 Woodward Ave Suite 210,Bloomfield Hills,MI,48302,713920,Corporation,Unanswered,Unanswered,Unanswered,,327,04/28/2020,Comerica Bank,MI-09
c $1-2 million,"CJBR CAPITAL, LLC",106 OAK WAY LN,LAFAYETTE,LA,70506,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,409,04/10/2020,Hancock Whitney Bank,LA-03
"e $150,000-350,000",CHESTERFIELD MANAGEMENT INC,18077 River Road,Noblesville,IN,46062,722513,Subchapter S Corporation,White,Male Owned,Veteran,,0,04/28/2020,First Merchants Bank,IN-05
"d $350,000-1 million",HG ELITE TRANSPORTATION,1100 e harvard st,glendale,CA,91205,484110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,68,05/20/2020,TCF National Bank,CA-28
"d $350,000-1 million",PREMIER MEDICAL DISTRIBUTION LLC,12393 Gateway Park Place Suite 100,DRAPER,UT,84020,423450,Limited Liability Partnership,White,Male Owned,Non-Veteran,,34,04/06/2020,First Utah Bank,UT-03
"e $150,000-350,000","GULF COAST VETERINARY EMERGENCY HOSPITAL, P.A.",8144 E. OAKLAWN RD,BILOXI,MS,39532,541940,Subchapter S Corporation,White,Male Owned,Unanswered,,49,04/15/2020,Community Bank of Mississippi,MS-04
"e $150,000-350,000",NEPTUNE MEDICAL INC.,1828 El Camino Real Suite 508,Burlingame,CA,94010,339112,Corporation,Unanswered,Unanswered,Unanswered,,18,04/15/2020,Silicon Valley Bank,CA-14
"d $350,000-1 million","GENNADY RUBINSTEIN M.D., INC",3959 LAUREL CANYON BLVD SUITE F,STUDIO CITY,CA,91604,621111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,33,04/08/2020,City National Bank,CA-28
"d $350,000-1 million","TAYLOR GARBAGE SERVICE, INC.",3104 VESTAL RD,VESTAL,NY,13850,562111,Corporation,Unanswered,Male Owned,Non-Veteran,,67,04/07/2020,Tioga State Bank,NY-22
"e $150,000-350,000","RESIDENTIAL STRUCTURES, PC",2991 EVERLASTING BRANCH RD,DARLINGTON,SC,29540,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/08/2020,Carolina Bank & Trust Co.,SC-07
"d $350,000-1 million","S&D APPLICATION, LLC",158 CHURCH ST,WAYNE,OH,43466,115112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,46,04/13/2020,Premier Bank,OH-05
"e $150,000-350,000",SOUTHSTAR COMMUNITIES MANAGEMENT LLC,1118 Vintage Way,NEW BRAUNFELS,TX,78132,237210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/15/2020,Security Service FCU,TX-21
"d $350,000-1 million","LIFE RENEWAL SERVICES, INC.",247 East Main Street,Westminster,MD,21157,621420,Corporation,Unanswered,Unanswered,Unanswered,,54,04/15/2020,Manufacturers and Traders Trust Company,MD-08
"e $150,000-350,000",BENNO'S ENTERPRISES INC,112 28TH ST,GALVESTON,TX,77550,722511,Corporation,Unanswered,Male Owned,Unanswered,,44,04/27/2020,Moody National Bank,TX-14
"d $350,000-1 million",CHTC (USA) INC,15780 El Prado Rd,CHINO,CA,91708,423110,Corporation,Unanswered,Unanswered,Unanswered,,43,05/01/2020,"Bank of America, National Association",CA-35
"e $150,000-350,000",HAYWARD BROWN FLAGLER INC,3200 E MOODY BLVD,BUNNELL,FL,32110,524113,Cooperative,Unanswered,Unanswered,Unanswered,,,04/14/2020,Intracoastal Bank,FL-06
c $1-2 million,GENERAL SYNOD COUNCIL OF THE REFORMED CHURCH IN AMERICA,4500  60TH ST SE,GRAND RAPIDS,MI,49512,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,136,04/15/2020,"PNC Bank, National Association",MI-03
"d $350,000-1 million",BIRD ROCK COFFEE ROASTERS INC.,1270 MORENA BLVD,SAN DIEGO,CA,92110,311920,Corporation,White,Unanswered,Unanswered,,61,04/15/2020,Bankers' Bank of Kansas,CA-53
c $1-2 million,THOMPSON HOSPITALITY CORP,1741 Business Center Dr Suite 200,RESTON,VA,20190,722310,Corporation,Unanswered,Male Owned,Unanswered,,88,04/30/2020,"Bank of America, National Association",VA-10
"d $350,000-1 million","CHECKERED FLAG MOTOR CAR COMPANY, INC",5225 Virginia Beach Blvd,VIRGINIA BEACH,VA,23462,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/09/2020,Towne Bank,VA-02
"d $350,000-1 million",AURORA LOGISTICS LLC,3150 Commercial Avenue,NORTHBROOK,IL,60062,453998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,90,04/14/2020,"Cadence Bank, National Association",IL-10
"d $350,000-1 million",A.G. & G. INC,21 Mill Street,JOHNSTON,RI,02919,339999,Corporation,Unanswered,Unanswered,Unanswered,,0,04/29/2020,BankNewport,RI-02
"d $350,000-1 million","STONE BRIDGE HOMES, INC.","1975 W. El Camino Real, Suite 100",Mountain View,CA,94040,236117,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,04/30/2020,Bank of the West,CA-18
b $2-5 million,"PREIN & NEWHOF, INC",3355 EVERGREEN DR NE,GRAND RAPIDS,MI,49525,541330,Corporation,White,Male Owned,Non-Veteran,,141,04/08/2020,The Huntington National Bank,MI-03
c $1-2 million,RIVER BEND INDUSTRIES LLC,1700 CRYSTAL LAKE DR,BLANCHARD,OK,73010,332111,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,60,04/06/2020,Prime Bank,OK-04
"e $150,000-350,000",GALANTE BROTHERS GENERAL ENGG INC.,1620 South Seventh Street,San Jose,CA,95112,237310,Corporation,Unanswered,Unanswered,Unanswered,,15,05/03/2020,Customers Bank,CA-17
"e $150,000-350,000",ADVENTURE MEDIA DIGITAL MARKETING LLC,1074 Broadway,WOODMERE,NY,11598,541613,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,28,04/16/2020,"JPMorgan Chase Bank, National Association",NY-04
"d $350,000-1 million","TRUPRO, INCORPORATED",2230 LA MIRADA DR,VISTA,CA,92081,238160,Corporation,Unanswered,Male Owned,Non-Veteran,,32,04/27/2020,"MUFG Union Bank, National Association",CA-49
"e $150,000-350,000",VENEER SERVICES,50 WASHINGTON ST Suite 3b,COLUMBUS,IN,47201,332312,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,18,04/06/2020,First Bank Richmond,IN-09
"e $150,000-350,000","BERNSTEIN, STAIR & MCADAMS, LLP",116 Agnes Road,KNOXVILLE,TN,37919,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,19,04/15/2020,FirstBank,TN-02
"e $150,000-350,000",HARRY KATZ FLOOR COVERINGS INC.,450 Jericho Turnpike,MINEOLA,NY,11501,236220,Corporation,Unanswered,Unanswered,Unanswered,,15,04/16/2020,Dime Community Bank,NY-04
"e $150,000-350,000","TIME TO CHANGE THE WORLD, INC",307 Lowell Street,ANDOVER,MA,01810,713940,Corporation,White,Male Owned,Unanswered,,50,04/08/2020,Cambridge Trust Company,MA-03
a $5-10 million,HATCH ASSOCIATES CONSULTANTS INC,1600 CARSON ST,PITTSBURGH,PA,15219,541330,Corporation,Unanswered,Unanswered,Unanswered,,348,04/29/2020,"HSBC Bank USA, National Association",PA-18
c $1-2 million,"HOTEL GENPAR, LTD","2121 SW 3 Avenue, 800",MIAMI,FL,33129,721110,Partnership,Unanswered,Unanswered,Unanswered,,149,04/10/2020,City National Bank of Florida,FL-27
"d $350,000-1 million","AECC, INC.",13740 MIDWAY RD STE 804,DALLAS,TX,75244,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,04/15/2020,"BTH Texas, National Association",TX-24
"e $150,000-350,000",LONG JUNE SILBINGS LLC,1918 OAK PARK BLVD,PLEASANT HILL,CA,94523,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,05/01/2020,"JPMorgan Chase Bank, National Association",CA-11
"d $350,000-1 million","SPIRIT OF '76, L.L.C.",6401 Highway 40 West,COLUMBIA,MO,65202,325998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/09/2020,Simmons Bank,MO-04
"d $350,000-1 million",FLOWER SHOP NETWORK INC,103 Monroe Rd,PARAGOULD,AR,72451,424930,Corporation,Unanswered,Unanswered,Unanswered,,75,04/05/2020,First Horizon Bank,AR-01
"d $350,000-1 million","A.J.D. CONSTRUCTION CO., INC.",948 Highway 36 0.0,Leonardo,NJ,07737,236116,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,54,04/09/2020,"JPMorgan Chase Bank, National Association",NJ-06
b $2-5 million,"HIGH POWER TECHNICAL SERVICES, INC.",2230 AMPERE DR,LOUISVILLE,KY,40299,515210,Corporation,Unanswered,Male Owned,Unanswered,,255,04/05/2020,Stock Yards Bank & Trust Company,KY-02
"e $150,000-350,000",GME BRIGGS CHANEY LLC,7850 WALKER DR STE 130,Greenbelt,MD,20770,722513,Partnership,Unanswered,Unanswered,Unanswered,,80,04/15/2020,"TD Bank, National Association",MD-05
"d $350,000-1 million","EYE CARE CENTERS, PLLC",1798 ROANE STATE HIGHWAY,HARRIMAN,TN,37748,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,87,04/09/2020,First-Citizens Bank & Trust Company,TN-03
"d $350,000-1 million",MAVERICK UNDERGROUND INC,11322 Sir Winston Suite A,San Antonio,TX,78216,237110,Corporation,Unanswered,Unanswered,Unanswered,,46,05/12/2020,American Express National Bank,TX-21
"d $350,000-1 million",THE C J KREHBIEL COMPANY,3962 VIRGINIA AVE,CINCINNATI,OH,45227,323117,Corporation,Unanswered,Unanswered,Unanswered,,,04/27/2020,"PNC Bank, National Association",OH-02
b $2-5 million,"SOBEL & CO., LLC CERTIFIED PUBLIC ACCOUNTANTS",293 EISENHOWER PKWY,LIVINGSTON,NJ,07039,541211,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,180,04/08/2020,Peapack-Gladstone Bank,NJ-11
"d $350,000-1 million",XUNJING TECHNOLOGY INC.,10184 DENISON AVE,CUPERTINO,CA,95014,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,05/01/2020,"JPMorgan Chase Bank, National Association",CA-17
"e $150,000-350,000","DEVER ARCHITECTS, INC.",22 REGENCY PLZ,GLEN MILLS,PA,19342,541310,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,04/14/2020,S & T Bank,PA-06
"e $150,000-350,000",ROBERT D. CREGIER PLUMBING &AMP; HEATING INC.,411 CROTON DAM RD RT 129,CROTON ON HUDSN,NY,10520,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,05/01/2020,"JPMorgan Chase Bank, National Association",NY-17
"e $150,000-350,000",DIRECTELE INC,28091 Dequindre Suite 301,MADISON HEIGHTS,MI,48071,561422,Corporation,Unanswered,Unanswered,Unanswered,,88,04/27/2020,Triad Business Bank,MI-09
"e $150,000-350,000","INDUSTRIAL CONTROL MANUFACTURING, INC.",7244 GAINES STREET CT,DAVENPORT,IA,52806,335999,Subchapter S Corporation,White,Male Owned,Unanswered,,16,04/08/2020,Northwest Bank & Trust Company,IA-02
"d $350,000-1 million","COLOSSIANS 3:23, LLC",75 Beatrice Street,La Vale,MD,21502,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,246,04/15/2020,Manufacturers and Traders Trust Company,MD-06
"e $150,000-350,000","SHELBYVILLE PENCIL COMPANY, INC",723 INDUSTRIAL PKWY,SHELBYVILLE,TN,37160,339940,Corporation,Unanswered,Unanswered,Unanswered,,39,04/13/2020,First Community Bank of Tennessee,TN-04
"e $150,000-350,000","KENNY TREE, INC.",17310 STATE ROUTE 9,SNOHOMISH,WA,98296,561730,Corporation,Unanswered,Unanswered,Unanswered,,11,04/27/2020,Peoples Bank,WA-01
b $2-5 million,WEST COUNTY RADIOLOGICAL GROUP INC,11475 Olde Cabin Rd Ste 200,SAINT LOUIS,MO,63141,621111,Corporation,Unanswered,Unanswered,Unanswered,,121,04/14/2020,"Bank of America, National Association",MO-02
b $2-5 million,"REC MARINE LOGISTICS, LLC",4535 Hwy 308,RACELAND,LA,70394,483111,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,268,04/09/2020,United Community Bank,LA-01
"e $150,000-350,000","SURETY LAND TITLE,INC",5909 Airport Blvd.,MOBILE,AL,36608,541191,Corporation,White,Male Owned,Unanswered,,40,04/06/2020,First National Bank and Trust,AL-01
c $1-2 million,WIN PRODUCTIONS LLC,46619 County Hwy 2,GRIGGSVILLE,IL,62340,112210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,130,04/08/2020,"Compeer Financial, ACA",IL-18
b $2-5 million,"CATHOLIC CHARITIES, INC., DIOCESE OF MADISON",702 S High Point Rd Suite 201,MADISON,WI,53719,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,136,04/06/2020,First Business Bank,WI-02
"e $150,000-350,000","HILL HIKER, INC",3565 COUNTY,LONG LAKE,MN,55356,423830,Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"U.S. Bank, National Association",MN-03
"e $150,000-350,000",PACIFIC NW CONSTRUCTION SOLUTIONS LLC,1100 NE 112th Ave,VANCOUVER,WA,98684,238160,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,22,04/13/2020,KeyBank National Association,WA-03
"e $150,000-350,000","WAVELAND PRESS, INC.",4180 IL Route 83 Suite 101,Long Grove,IL,60047,323113,Corporation,Unanswered,Male Owned,Unanswered,,19,04/15/2020,First American Bank,IL-06
"e $150,000-350,000",CARRIER LOGISTICS INC.,570 Taxter Rd. Suite 390,Elmsford,NY,10523,541519,Corporation,Unanswered,Unanswered,Unanswered,,15,04/27/2020,"Modern Bank, National Association",NY-17
"e $150,000-350,000",SAPKIN BROS. INC,2020 DEMERE RD,SAINT SIMONS ISLAND,GA,31522,722511,Corporation,Unanswered,Male Owned,Unanswered,,48,04/10/2020,Synovus Bank,GA-01
"e $150,000-350,000",NUTRITION DELIGHT INC,250 Jackson St,San Jose,CA,95112,621999,Corporation,Unanswered,Unanswered,Unanswered,,25,05/03/2020,Celtic Bank Corporation,CA-17
"e $150,000-350,000","FAMILY OPTOMETRIC ASSOCIATES, PC",2060 Yellow Springs Road 104,Frederick,MD,21702,621320,Corporation,Unanswered,Unanswered,Unanswered,,20,04/27/2020,Woodsboro Bank,MD-06
c $1-2 million,CB TECHNOLOGIES,770 THE CITY DR STE 5300,ORANGE,CA,92868,541519,Subchapter S Corporation,Hispanic,Female Owned,Non-Veteran,,44,04/09/2020,City National Bank,CA-46
"e $150,000-350,000","VISUAL IMPACT, LLC",9702 Ulysses St. NE,MINNEAPOLIS,MN,55434,323111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/08/2020,"Bremer Bank, National Association",MN-06
"d $350,000-1 million",ST MARY'S ACADEMY OF THE HOLLY FAMILY,6905 Chef Menteur Highway,NEW ORLEANS,LA,70126,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,67,04/08/2020,Gulf Coast Bank and Trust Company,LA-02
"d $350,000-1 million","MANNA FOOD CENTER, INC.",12301 OLD COLUMBIA PIKE,SILVER SPRING,MD,20904,311991,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,34,04/15/2020,City National Bank,MD-08
"e $150,000-350,000",EXOTHERM CORPORATION,888 WILCREST DR,HOUSTON,TX,77042,333414,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/09/2020,Frost Bank,TX-07
"d $350,000-1 million",MIAMI VETERINARY SPECIALISTS PA,8601 sunset drive,MIAMI,FL,33143,541940,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,67,04/09/2020,City National Bank of Florida,FL-27
"e $150,000-350,000",FULCRUM ENTERPRISES LLC,625 Baroone Street Third Floor,NEW ORLEANS,LA,70113,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/28/2020,American Bank & Trust Company,LA-02
"e $150,000-350,000","MARTIN'S OF EFFINGHAM, INC.",1108 S. VAN BUREN ST,NEWTON,IL,62448,445110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,67,04/28/2020,Crossroads Bank,IL-15
"e $150,000-350,000","RYCACO, INC.",29410 Northwestern Hwy,SOUTHFIELD,MI,48034,722511,Corporation,White,Male Owned,Non-Veteran,,44,04/11/2020,The Huntington National Bank,MI-14
"e $150,000-350,000","PEZZETTI, VERMETTEN & POPOVITS, P.C.","600 E Front Street, Ste 102",TRAVERSE CITY,MI,49686,541110,Corporation,Unanswered,Unanswered,Unanswered,,11,04/04/2020,mBank,MI-01
c $1-2 million,"HASSE CONSTRUCTION COMPANY, INC.",10 LINCOLN AVE,CALUMET CITY,IL,60409,236220,Corporation,Unanswered,Male Owned,Unanswered,,67,04/08/2020,First Merchants Bank,IL-02
"d $350,000-1 million","M.C. HARSTHORN, INC",701 3rd St SE,WATERTOWN,SD,57201,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,140,04/05/2020,First PREMIER Bank,SD-00
"e $150,000-350,000",TECHNI-SOURCE INC,1839 S ALMA SCHOOL RD STE 205,MESA,AZ,85210,541330,Corporation,Unanswered,Unanswered,Unanswered,,9,04/30/2020,"Bank of America, National Association",AZ-09
"d $350,000-1 million","FREUD THIRD AVENUE PROPERTIES, LLC",515 Madison Ave Fl 31,New York,NY,10022,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"e $150,000-350,000",ROSETE CONSTRUCTION LLC,1900 S CEMETERY RD,YUKON,OK,73099,236117,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,Cornerstone Bank,OK-03
"d $350,000-1 million","REV.IO, LLC",3340 Peachtree Rd NE,ATLANTA,GA,30326,511210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,72,04/08/2020,CIBC Bank USA,GA-05
"e $150,000-350,000",GULF COAST HOLDINGS LLC,13577 U.S. 19 N/A,CLEARWATER,FL,33764,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,04/15/2020,"South State Bank, National Association",FL-13
"d $350,000-1 million",ROSELLE CATHOLIC HIGH SCHOOL,350 Raritan Road,Roselle,NJ,07203,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,37,04/27/2020,Investors Bank,NJ-10
"e $150,000-350,000","RSL PIONEER, LLC","10220 SW GREENBURG RD, SUITE 201",PORTLAND,OR,97223,623311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,06/09/2020,First Bank,OR-01
"e $150,000-350,000",HINDU AMERICAN FOUNDATION INC,910 17TH ST NW STE 316A,WASHINGTON,DC,20006,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,05/03/2020,"Bank of America, National Association",DC-00
"e $150,000-350,000",ZION REVENUE SOLUTIONS,602 PINE ST,TEXARKANA,TX,75501,541219,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/06/2020,State Bank of De Kalb,TX-04
"e $150,000-350,000","AQUA SPECIALISTS, INC",160 Silver Spring Road,Mechanicsburg,PA,17055,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22,04/16/2020,Members 1st FCU,PA-10
"e $150,000-350,000",GLOBAL EXECUTIVE GROUP LLC,3453 Pierce Drive Suite 120,ATLANTA,GA,30341,541618,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,04/13/2020,Ameris Bank,GA-06
"e $150,000-350,000","HOME ELEVATORS & LIFT PRODUCTS, LLC",8311 Ocean Highway West,SUNSET BEACH,NC,28468,333921,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,06/04/2020,Anderson Brothers Bank,NC-07
"e $150,000-350,000","TFA-TEXAS FIRE ALARM, INC.",705 HOUSTON,WILLS POINT,TX,75169,922160,Corporation,Unanswered,Unanswered,Unanswered,,22,04/28/2020,BBVA USA,TX-04
"e $150,000-350,000",HOME REPAIR SERVICES OF KENT COUNTY INC,1100 South Division Ave,GRAND RAPIDS,MI,49507,238220,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,18,04/28/2020,Fifth Third Bank,MI-03
"d $350,000-1 million",CHIC POLLO LLC,"3700 Oceanic Way, STE. 101",Oceanside,CA,92056,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,04/15/2020,Endeavor Bank,CA-49
c $1-2 million,DONNA KLEIN JEWISH ACADEMY INC,9701 DONNA KLEIN BLVD,BOCA RATON,FL,33428,813319,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,117,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,FL-21
"e $150,000-350,000",ABES BAUMANN A PROFESSIONAL CORP,810 PENN AVE,PITTSBURGH,PA,15222,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,05/03/2020,"PNC Bank, National Association",PA-18
"e $150,000-350,000",J.T. MANUFACTURING CORPORATION,60 B PULPIT ROCK RD,PELHAM,NH,03076,333318,Corporation,White,Male Owned,Non-Veteran,,0,04/27/2020,Enterprise Bank and Trust Company,NH-02
"e $150,000-350,000",ABE KRASNE HOME FURNISHINGS INC,MAIN ST,FREMONT,NE,68025,442299,Corporation,White,Female Owned,Non-Veteran,,33,04/03/2020,First State Bank & Trust Company,NE-01
b $2-5 million,ALLIED WIRE & CABLE INC.,101 Kestrel Drive,Collegeville,PA,19426,423610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",PA-04
"e $150,000-350,000",TECH EVOLUTIONS LLC,6550 E 71st St Suite 104,TULSA,OK,74133,541512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/28/2020,"JPMorgan Chase Bank, National Association",OK-01
"e $150,000-350,000",PLATINUM HOME LLC,11921 SE 212TH PL,KENT,WA,98031,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,05/01/2020,"JPMorgan Chase Bank, National Association",WA-09
"d $350,000-1 million",THE WILLOW SCHOOL,1150 Pottersville Road,GLADSTONE,NJ,07934,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,36,04/14/2020,ConnectOne Bank,NJ-07
b $2-5 million,PINNACLE OIL HOLDINGS LLC,5009 W 81st St,INDIANAPOLIS,IN,46268,424720,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,172,04/06/2020,Lake City Bank,IN-07
"e $150,000-350,000",NEWMAN MCDONOUGH SCHOFEL & GIGER,101 EISENHOWER PKY,Roseland,NJ,07068,541110,Partnership,Unanswered,Unanswered,Unanswered,,8,04/15/2020,"TD Bank, National Association",NJ-11
"e $150,000-350,000",CARE FOR THE BAY AREA,"555 KNOWLES DR, Suite 212",LOS GATOS,CA,95032,621111,Corporation,White,Female Owned,Non-Veteran,,14,04/15/2020,Technology CU,CA-18
"e $150,000-350,000",KARMALA INC.,142 Hawley St,Grayslake,IL,60030,621610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,Live Oak Banking Company,IL-10
